-120.8460041,37.4938367,"10 East Kitchen and Taphouse","10 East Main Street",Turlock,CA,"(209) 669-1010","Beer Bar",
-84.3100590,30.4487000,"100 Proof Social Club","1717 West Tennessee St.",Tallahassee,FL,"(850) 894-5638","Beer Bar","score: 76.7"
-83.0924026,40.1197997,"101 Beer Kitchen","7509 Sawmill Road",Columbus,OH,614.210.1010,"Beer Bar",
-86.7888399,36.1264690,"12 South Taproom","2318 12th Ave. South",Nashville,TN,"(615) 463-7552","Beer Bar",
-75.1577198,39.9390608,"12 Steps Down","831 Christian St",Philadelphia,PA,"(215) 238-0379","Beer Bar","score: 75.0"
-73.0637897,41.5525733,"1249 Winebar","1249 W. Main St",Waterbury,CT,203-756-1249,"Beer Bar",
-157.799646,21.281578,"12th Ave Grill","1120 12th Ave",Honolulu,HI,"(808) 732-9469","Beer Bar",
-73.9803314208984,40.6644172668457,"12th Street Bar and Grill","1123 8th Avenue at 12th Street",Brooklyn,NY,"(718) 965-9526 ","Beer Bar","score: 76.7"
-84.2371570,33.5035130,"15th Street Pizza and Pub","1481-B Hudson Bridge Road",Stockbridge,GA,"(770) 507-1478","Beer Bar",
-75.7484357,39.6833800,"16 Mile Taphouse","115 E Main St",Newark,DE,"(302) 266-8111","Beer Bar",
-123.0887063,44.0455179,"16 Tons Taphouse","265 E. 13th Ave.",Eugene,OR,"(541) 345-2003 â€Ž","Beer Bar",
-123.0916874,44.0268292,"16 Tons Union Cafe","2864 Willamette #500",Eugene,OR,"(541) 485-2700","Beer Bar",
-75.1613780,39.9294850,1601,"1601 S.10th St.",Philadelphia,PA,"(215) 218-3840","Beer Bar",
-118.2623724,34.0683274,"1642 Beer and Wine","1642 W Temple St","Los Angeles",CA,,"Beer Bar",
-73.9899749755859,40.7145919799805,"169 Bar","169 East Broadway","New York",NY,"(212) 473-8866 ","Beer Bar",
-110.9465670,32.2357500,1702,"1702 E Speedway Blvd",Tucson,AZ,"(520) 325-1702","Beer Bar","score: 99.2"
-79.8127288818359,36.0915298461914,"1740 Tap Room Grill","1740 Battleground Avenue",Greensboro,NC,"(336) 274-4439","Beer Bar","score: 63.3"
-76.4934518,38.9780959,"1747 Pub at Reynolds Tavern","7 Church Circle",Annapolis,MD,"(410) 295-9555","Beer Bar",
-83.0664159,40.3000725,"1808 American Bistro","29 East Winter St",Delaware,OH,"(740) 417-4373","Beer Bar",
-92.3361814,38.9163844,"1839 Taphouse","212 East Green Meadows Road",Columbia,MO,"(573) 441-1839","Beer Bar",
-119.83330965,38.98104216,"1862 David Walley's Saloon","2001 Foothill Road",Genoa,NV,"(775) 783-0788","Beer Bar","score: 80.0"
-79.9772262573242,40.4288101196289,"1889 Cafe","2017 E. Carson Street",Pittsburgh,PA,"(412) 431-9290","Beer Bar",
-86.5757020,34.7384490,"1892 East Tavern","720 Pratt Avenue",Huntsville,AL,"(256) 489-1242","Beer Bar",
-81.4057769775391,41.6404647827148,"1899 Pub","38228 Glenn Avenue",Willoughby,OH,"(440) 269-1899","Beer Bar","score: 100.0"
